"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.778938118949382E9,"2026-05-16 15:28:38.949 UTC+02:00"
"PAUSE",3.085619570832932E1,1.778938149804270E9,"2026-05-16 15:29:09.804 UTC+02:00"
