"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.942147917E-1,1.608738595E0,-4.391082077E-1,-5.005029488E-1,1.741079862E0
6.042027917E-1,1.543126696E0,-4.674586520E-1,-4.058061218E-1,1.662659376E0
6.141907917E-1,1.505189815E0,-4.675523171E-1,-1.989427418E-1,1.588640854E0
6.241787917E-1,1.489711212E0,-3.952458311E-1,9.002022386E-2,1.543879011E0
6.341667917E-1,1.435214869E0,-3.112698741E-1,2.355498201E-1,1.487351463E0
6.441547917E-1,1.320477588E0,-2.714016574E-1,4.221426576E-1,1.412630292E0
6.541427917E-1,1.139641992E0,-2.701554696E-1,6.259567147E-1,1.328002130E0
6.641307917E-1,9.449697641E-1,-3.094679084E-1,7.722476184E-1,1.259009383E0
6.741187917E-1,7.579526380E-1,-3.721398641E-1,8.967003411E-1,1.231686560E0
6.841067917E-1,6.203117397E-1,-4.347585736E-1,9.595690191E-1,1.222527862E0
6.940947917E-1,5.528819411E-1,-4.684659080E-1,9.884583575E-1,1.225638067E0
7.040827917E-1,5.533108344E-1,-4.127322584E-1,1.092810107E0,1.292569041E0
7.140707917E-1,5.522532924E-1,-2.714841762E-1,1.164039134E0,1.316690724E0
7.240597917E-1,5.195796360E-1,-1.702531954E-1,1.135247444E0,1.260053930E0
7.340477917E-1,5.684646977E-1,-1.381694866E-1,1.076548415E0,1.225234431E0
7.440357917E-1,5.251588299E-1,-6.281124735E-2,8.945444727E-1,1.039204919E0
7.540237917E-1,4.227270868E-1,6.415400561E-3,7.141555309E-1,8.299141339E-1
7.640117917E-1,3.442757984E-1,7.330045788E-2,6.795031768E-1,7.652603151E-1
7.739997917E-1,3.408431905E-1,2.361706116E-1,7.402645183E-1,8.484940750E-1
7.839877917E-1,3.121612090E-1,3.366812886E-1,1.127367736E0,1.217274383E0
7.939757917E-1,1.615041163E-1,4.054924918E-1,1.617005973E0,1.674877924E0
8.039637917E-1,-9.060962319E-2,3.740118136E-1,1.993024040E0,2.029837374E0
8.139517917E-1,-2.573567916E-1,2.813994825E-1,2.278176960E0,2.309871955E0
8.239397917E-1,-2.914487632E-1,1.831087376E-1,2.384213877E0,2.408930676E0
8.339277917E-1,-2.140550899E-1,8.678627506E-2,2.378871276E0,2.390058574E0
8.439164167E-1,-1.971575868E-1,4.359783576E-2,2.131189068E0,2.140733222E0
8.539044167E-1,-2.229700472E-1,3.518747485E-2,1.526214502E0,1.542817068E0
8.638924167E-1,-2.336764453E-1,6.270176738E-2,7.840677649E-1,8.205476541E-1
8.738814167E-1,-2.498101558E-1,9.781982481E-2,1.687874812E-1,3.169590602E-1
8.838694167E-1,-2.315196267E-1,7.840186117E-2,-2.363994205E-1,3.400483427E-1
8.938574167E-1,-5.540090650E-2,5.398494842E-2,-4.968314821E-1,5.028172199E-1
9.038454167E-1,1.202485015E-1,7.936274143E-2,-7.432857746E-1,7.571207893E-1
9.138334167E-1,1.522539673E-1,1.759420977E-1,-9.800915766E-1,1.007331321E0
9.238214167E-1,8.431889623E-2,2.717731018E-1,-1.235187469E0,1.267540287E0
9.338094167E-1,-5.250083372E-2,3.816575597E-1,-1.326551968E0,1.381361268E0
9.437974167E-1,-1.329431722E-1,5.126465924E-1,-1.136689367E0,1.254010819E0
9.537854167E-1,-2.037283954E-1,5.415184622E-1,-9.804611206E-1,1.138442582E0
9.637734167E-1,-2.090853951E-1,4.948085647E-1,-7.911984444E-1,9.563196100E-1
9.737614167E-1,-1.695023398E-1,4.540209465E-1,-4.527189177E-1,6.631896271E-1
9.837494167E-1,-1.469529181E-1,4.231115413E-1,-2.233531129E-1,5.005048946E-1
9.937374167E-1,-1.428331162E-1,3.593267873E-1,-9.374957800E-2,3.978768937E-1
1.003725417E0,-1.244453040E-1,3.433988623E-1,-1.227622926E-1,3.853310172E-1
1.013713417E0,1.599615477E-3,3.188390216E-1,-1.560756344E-1,3.549936395E-1
1.023702417E0,1.455134798E-1,3.405929296E-1,-2.651911104E-1,4.555261151E-1
1.033690417E0,1.835026937E-1,3.409861914E-1,-5.982806736E-1,7.126602176E-1
1.043678417E0,1.986926271E-1,2.604181196E-1,-9.109307098E-1,9.680346663E-1
1.053666417E0,3.262172576E-1,1.911290709E-1,-9.252949798E-1,9.995593132E-1
1.063654417E0,4.804699494E-1,1.118272410E-1,-7.609338409E-1,9.068500506E-1
1.073642417E0,5.796341222E-1,4.224205831E-2,-5.689820302E-1,8.133269070E-1
1.083630417E0,6.264701003E-1,5.020945609E-2,-5.056350499E-1,8.066303861E-1
1.093618417E0,5.744239607E-1,7.773335997E-2,-5.701660913E-1,8.130773232E-1
1.103606417E0,5.229010738E-1,1.198190966E-1,-7.633540034E-1,9.330013309E-1
1.113594417E0,5.200004894E-1,1.574864396E-1,-1.054324903E0,1.186087471E0
1.123582417E0,5.337040970E-1,1.684758611E-1,-1.114166477E0,1.246832434E0
1.133570417E0,5.379569232E-1,1.539657762E-1,-1.146189339E0,1.275481521E0
1.143558417E0,4.919603129E-1,7.875068413E-2,-1.062838449E0,1.173819487E0
1.153546417E0,5.998652691E-1,3.603346646E-4,-8.996081614E-1,1.081264683E0
1.163535417E0,7.484017228E-1,-8.070063919E-2,-7.713945097E-1,1.077806672E0
1.173523417E0,8.785524110E-1,-1.336369077E-1,-8.028741646E-1,1.197631031E0
1.183511417E0,9.536769991E-1,-1.018970883E-1,-9.849278086E-1,1.374760206E0
1.193499417E0,1.073602296E0,5.361458212E-3,-1.205307612E0,1.614130439E0
1.203486417E0,1.290117529E0,1.335143355E-1,-1.395960172E0,1.905501015E0
1.213474417E0,1.424407461E0,1.383208198E-1,-1.330857857E0,1.954290639E0
1.223462417E0,1.459509173E0,1.631833270E-1,-1.264823497E0,1.938188408E0
1.233451417E0,1.468334961E0,2.552828207E-1,-1.234467677E0,1.935222809E0
1.243439417E0,1.526402782E0,2.719657310E-1,-1.038536251E0,1.866126565E0
1.253427417E0,1.531671416E0,2.033424426E-1,-7.820744491E-1,1.731763817E0
1.263415417E0,1.503196937E0,1.800961424E-1,-4.711271220E-1,1.585558709E0
1.273403417E0,1.482958993E0,1.302033862E-1,-9.413257062E-2,1.491637100E0
1.283391417E0,1.521651481E0,1.143082786E-1,2.646075583E-1,1.548711326E0
1.293379417E0,1.460244899E0,2.307253738E-1,4.389551568E-1,1.542151417E0
1.303367417E0,1.321613848E0,3.334110870E-1,5.375719571E-1,1.465199551E0
1.313355417E0,1.134129749E0,4.154400674E-1,6.553167540E-1,1.374147294E0
1.323343417E0,8.101492703E-1,3.936944186E-1,9.155903560E-1,1.284384224E0
1.333331417E0,4.268936300E-1,3.885667394E-1,1.351502622E0,1.469619549E0
1.343319417E0,8.126365297E-2,3.428481642E-1,1.810965133E0,1.844923673E0
1.353307417E0,-1.780712517E-1,2.733333216E-1,2.258567153E0,2.282004833E0
1.363295417E0,-1.883881886E-1,1.707376007E-1,2.516879014E0,2.529688006E0
1.373283417E0,-6.184307635E-3,2.752254715E-2,2.525382035E0,2.525539578E0
1.383272417E0,2.257324181E-1,-7.406077864E-2,2.168058686E0,2.181036128E0
1.393260417E0,3.045824318E-1,-1.463903520E-1,1.778327730E0,1.810151957E0
1.403248417E0,1.768769396E-1,-1.855965268E-1,1.598422353E0,1.618853156E0
1.413236417E0,-1.061874097E-1,-1.776260227E-1,1.672091423E0,1.684849102E0
1.423224417E0,-3.485213886E-1,-1.644812261E-1,1.903024281E0,1.941654616E0
1.433212417E0,-4.523596794E-1,-1.242470012E-1,2.116678618E0,2.168039429E0
1.443200417E0,-4.523323071E-1,1.875737902E-2,2.062431074E0,2.111534582E0
1.453188417E0,-3.939925170E-1,1.143721320E-1,1.622888272E0,1.673940690E0
1.463176417E0,-3.703093567E-1,1.015003821E-1,1.027477997E0,1.096878472E0
1.473164417E0,-2.562124915E-1,3.448429235E-2,3.546488321E-1,4.388733317E-1
1.483152417E0,-1.017484228E-1,-1.296745603E-1,-3.240415817E-1,3.635535447E-1
1.493140417E0,5.537108570E-2,-3.060284117E-1,-8.612574434E-1,9.156875721E-1
1.503128417E0,1.799856301E-1,-4.000756312E-1,-1.312441467E0,1.383820054E0
1.513116417E0,3.324381834E-1,-4.137228864E-1,-1.606705518E0,1.692094677E0
1.523104417E0,4.285882993E-1,-3.686658140E-1,-1.658344619E0,1.752058585E0
1.533093417E0,4.544400457E-1,-3.321498792E-1,-1.365827715E0,1.477269321E0
1.543081417E0,3.839979078E-1,-3.202850746E-1,-7.805921799E-1,9.270172995E-1
1.553069417E0,1.854145140E-1,-3.291099117E-1,-1.655709279E-1,4.124386114E-1
1.563057417E0,-3.893907582E-2,-4.260198002E-1,4.783004862E-1,6.417012364E-1
1.573045417E0,-2.018818082E-1,-4.556123758E-1,1.137291631E0,1.241680778E0
1.583033417E0,-3.230120333E-1,-3.767831746E-1,1.456795188E0,1.539010901E0
1.593021417E0,-4.202550302E-1,-3.131192022E-1,1.290159482E0,1.392540633E0
1.603009417E0,-4.720110749E-1,-2.713535092E-1,6.194025707E-1,8.246737090E-1
1.612997417E0,-3.889698683E-1,-2.003537480E-1,-9.345253944E-2,4.474064818E-1
1.622985417E0,-9.989182223E-2,-1.591544858E-1,-6.144289291E-1,6.425195992E-1
1.632973417E0,1.422778317E-1,-1.250932029E-1,-9.537416840E-1,9.723756941E-1
1.642961417E0,3.687587847E-1,-8.847118679E-2,-1.195651520E0,1.254349533E0
1.652949417E0,5.607465924E-1,-9.071876513E-2,-1.334450971E0,1.450319286E0
1.662937417E0,6.244523723E-1,-5.842762175E-2,-1.438769392E0,1.569526016E0
1.672925417E0,6.070607796E-1,-5.791654770E-2,-1.427470817E0,1.552272544E0
1.682914417E0,5.152300385E-1,-1.110353910E-1,-1.469691807E0,1.561340725E0
1.692902417E0,4.748432469E-1,-1.836471382E-1,-1.446469590E0,1.533452528E0
1.702890417E0,5.819968358E-1,-1.614576492E-1,-1.421031278E0,1.544059190E0
1.712878417E0,7.288254641E-1,-6.711160038E-2,-1.368962992E0,1.552337012E0
1.722866417E0,7.895946262E-1,-9.613830264E-2,-1.294403976E0,1.519270845E0
1.732854417E0,7.587852815E-1,-1.180546628E-1,-1.291880903E0,1.502879993E0
1.742842417E0,7.384398946E-1,-1.072197173E-1,-1.472166933E0,1.650474182E0
1.752830417E0,7.035318710E-1,-1.162486223E-1,-1.700880189E0,1.844305900E0
1.762818417E0,7.961254545E-1,-1.836960721E-1,-1.823337257E0,1.998028713E0
1.772806417E0,9.247710693E-1,-1.867121939E-1,-1.723748649E0,1.965037501E0
1.782794417E0,1.040942161E0,-2.037987447E-1,-1.532011431E0,1.863371551E0
1.792782417E0,1.000825365E0,-2.200177332E-1,-1.359458343E0,1.702406004E0
1.802770417E0,8.714607617E-1,-2.548674126E-1,-1.234361842E0,1.532334955E0
1.812758417E0,7.879782365E-1,-2.176363816E-1,-1.086095749E0,1.359367232E0
1.822746417E0,7.121554908E-1,-2.989149266E-1,-9.944675410E-1,1.259158952E0
1.832734708E0,6.566896802E-1,-3.947418742E-1,-1.003809637E0,1.262812841E0
1.842722708E0,6.395032516E-1,-4.590653029E-1,-9.974355876E-1,1.270662470E0
1.852710708E0,7.180763083E-1,-5.190824765E-1,-7.794069493E-1,1.180065843E0
1.862698708E0,9.004729646E-1,-5.352597122E-1,-4.175672114E-1,1.127704259E0
1.872686708E0,1.019799872E0,-5.179817016E-1,-6.688220680E-2,1.145761778E0
1.882674708E0,9.910954517E-1,-4.862926067E-1,2.897739744E-1,1.141367447E0
1.892662708E0,8.885149701E-1,-5.165097016E-1,6.929897797E-1,1.239546675E0
1.902650708E0,6.534702033E-1,-5.576342656E-1,1.145171338E0,1.431571401E0
1.912638708E0,3.826007887E-1,-5.523823696E-1,1.355747700E0,1.513129695E0
1.922626708E0,2.286261320E-1,-4.965858259E-1,1.490824229E0,1.587899327E0
1.932614708E0,2.125125944E-1,-3.763421118E-1,1.541212025E0,1.600665329E0
1.942602708E0,1.970350694E-1,-2.084024769E-1,1.509227171E0,1.536236005E0
1.952590708E0,1.288063584E-1,-9.217928083E-2,1.509625366E0,1.517912002E0
1.962578708E0,7.314832063E-2,-6.101292704E-2,1.662210798E0,1.664937834E0
1.972566708E0,1.097752795E-1,-5.749416403E-2,1.700609463E0,1.705118394E0
1.982554708E0,1.581730306E-1,-1.200665892E-2,1.718552814E0,1.725858233E0
1.992542708E0,2.719713772E-1,6.629056907E-3,1.839282614E0,1.859293659E0
2.002530708E0,3.739795808E-1,1.313996351E-1,1.938337371E0,1.978453526E0
2.012519708E0,4.172375015E-1,2.795999105E-1,1.931130677E0,1.995376891E0
2.022507708E0,3.141352290E-1,4.104392728E-1,1.986107953E0,2.052258790E0
2.032495708E0,-1.039203711E-2,3.883024087E-1,2.225996992E0,2.259634785E0
2.042483708E0,-2.836036636E-1,3.237636197E-1,2.401021698E0,2.439294799E0
2.052471708E0,-4.480708198E-1,2.994077738E-1,2.496769270E0,2.554264916E0
2.062459708E0,-4.807097218E-1,2.168157431E-1,2.286567714E0,2.346589614E0
2.072447708E0,-3.287074406E-1,7.883600780E-2,1.843172182E0,1.873912322E0
2.082435708E0,-1.202963025E-1,1.885728875E-2,1.350652437E0,1.356130083E0
2.092423708E0,-7.617072813E-2,-7.149094563E-2,8.774969155E-1,8.836932566E-1
2.102411708E0,-2.351176743E-1,-9.940827576E-2,2.996879286E-1,3.936688717E-1
2.112399708E0,-2.590898697E-1,4.282332636E-2,-1.922026563E-1,3.254278091E-1
2.122387708E0,-6.079627857E-2,-1.630269505E-2,-5.761594874E-1,5.795875432E-1
2.132375708E0,1.152385341E-1,9.147745963E-2,-8.855356675E-1,8.976755894E-1
2.142363708E0,3.680837602E-1,2.806380106E-1,-1.076494621E0,1.171786677E0
2.152351708E0,4.741922325E-1,5.278876889E-1,-9.241021478E-1,1.165113070E0
2.162339708E0,2.674331156E-1,6.798593453E-1,-4.937722188E-1,8.817824022E-1
2.172327708E0,-8.275180589E-2,7.134333267E-1,1.048838460E-1,7.258344124E-1
2.182315708E0,-4.160712013E-1,7.485130392E-1,6.676976484E-1,1.085913055E0
2.192303708E0,-6.385367069E-1,8.089986844E-1,1.179539518E0,1.566372073E0
2.202291708E0,-7.403497414E-1,8.213884959E-1,1.698312677E0,2.026588944E0
2.212280708E0,-7.478273070E-1,8.031883793E-1,1.887313982E0,2.183188338E0
2.222268708E0,-6.452558155E-1,6.753532617E-1,1.460070798E0,1.733281233E0
2.232256708E0,-4.310709174E-1,5.352779848E-1,7.285005051E-1,1.001527654E0
2.242244708E0,-1.166361831E-1,4.375231737E-1,1.126290679E-2,4.529430205E-1
2.252232708E0,9.988449493E-2,3.994195005E-1,-6.389036196E-1,7.600728155E-1
2.262220708E0,9.266334806E-2,3.143204395E-1,-1.205429819E0,1.249177683E0
2.272208708E0,1.641649649E-2,2.609844955E-1,-1.623259571E0,1.644187958E0
2.282196708E0,-6.903317817E-2,3.038542159E-1,-1.917503157E0,1.942655739E0
2.292184708E0,-6.860000912E-2,3.371564114E-1,-2.027356551E0,2.056345057E0
2.302172708E0,7.617167830E-3,3.621721156E-1,-2.031886974E0,2.063926195E0
